probe-id	chromosome	start	stop	strand	genes
cg14834436	14	60734699	60734701	+	MNAT1
cg14835962	22	21001654	21001656	+	THAP7;THAP7-AS1
cg14837082	3	11252917	11252919	+	HRH1
cg14837165	15	40471795	40471797	-	CHST14
cg14837411	17	58692646	58692648	+	IGBP1P2;RAD51C;TEX14
cg14838256	4	55346517	55346519	+	SRD5A3
cg14839257	6	166862510	166862512	-	AL159163.1;RPS6KA2
cg14839898	11	112085637	112085639	+	AP002884.2;SDHD;TIMM8B
cg14839932	6	43171423	43171425	-	SRF
cg14840416	2	43226184	43226186	-	LINC01126;ZFP36L2
cg14841098	X	46759532	46759534	-	SLC9A7
cg14841875	1	116373788	116373790	+	ATP1A1
cg14844130	22	22244524	22244526	-	VPREB1
cg14845091	13	113453640	113453642	-	ADPRHL1
cg14846293	17	65561574	65561576	+	AC004805.1;AXIN2
cg14847483	15	34224438	34224440	+	EMC4
cg14847688	14	59465394	59465396	+	GPR135;L3HYPDH
cg14849423	19	56840422	56840424	-	MIMT1;PEG3;ZIM2
cg14849559	2	218292632	218292634	-	PNKD;TMBIM1
cg14850026	1	62194518	62194520	-	L1TD1
cg14850181	22	37020146	37020148	-	MPST;TST
cg14851685	19	15507747	15507749	-	CYP4F22
cg14853515	7	32490425	32490427	+	LSM5
cg14854487	X	120469242	120469244	-	LAMP2
cg14858551	20	18288599	18288601	+	ZNF133
cg14859074	3	190322445	190322447	+	CLDN1;CLDN16
cg14859417	10	127906684	127906686	-	PTPRE
cg14859460	5	178995242	178995244	-	GRM6
cg14859749	22	30357145	30357147	+	CCDC157;SF3A1
cg14860494	1	93909409	93909411	-	GCLM
cg14861570	17	55422592	55422594	-	MMD
cg14862827	9	112174676	112174678	-	AL158824.1;SUSD1
cg14863484	16	58734105	58734107	+	AC106793.1;GOT2
cg14864603	17	76466763	76466765	-	AANAT
cg14865516	5	43557648	43557650	+	PAIP1
cg14865868	2	12715913	12715915	+	AC009486.1;AC009486.2;TRIB2
cg14869028	1	31576559	31576561	-	AC114488.1;LINC01226;TINAGL1
cg14870271	17	78979927	78979929	-	LGALS3BP
cg14870461	3	69012951	69012953	-	AC109587.1;EOGT
cg14871138	20	62709532	62709534	-	NTSR1
cg14871544	18	31447921	31447923	+	DSG3
cg14871856	8	30657819	30657821	+	GTF2E2
cg14872956	12	98645236	98645238	+	APAF1;IKBIP
cg14873135	5	33440546	33440548	+	AC034231.1;TARS1
cg14874121	5	119452595	119452597	+	HSD17B4
cg14876043	19	54947361	54947363	-	NLRP7
cg14879013	15	49620707	49620709	+	DTWD1;FAM227B
cg14880655	20	34545700	34545702	+	MAP1LC3A
cg14880800	5	13945880	13945882	-	DNAH5
cg14882700	4	4226843	4226845	-	OTOP1
cg14883392	12	102957738	102957740	-	ASCL1;PAH
cg14884741	6	150143507	150143509	+	PPP1R14C
cg14885742	11	320955	320957	-	AC136475.1;AC136475.4;IFITM3
cg14886269	1	1206546	1206548	-	TNFRSF18
cg14887509	1	27490269	27490271	+	WASF2
cg14889768	6	146543392	146543394	-	RAB32
cg14892037	X	71068175	71068177	-	SNX12
cg14892066	4	182918109	182918111	+	DCTD
cg14892768	19	41219426	41219428	+	AXL
cg14893129	17	80178251	80178253	+	CARD14
cg14893161	1	205850122	205850124	+	AC119673.2;PM20D1
cg14893163	13	57631901	57631903	+	PCDH17
cg14894144	18	23690589	23690591	-	LAMA3
cg14894216	11	66026880	66026882	+	CATSPER1
cg14896003	11	562365	562367	-	RASSF7
cg14896516	7	30682744	30682746	-	CRHR2
cg14897096	11	66954601	66954603	-	PC
cg14898639	20	36794676	36794678	+	SOGA1
cg14898779	7	23709987	23709989	-	STK31
cg14898892	4	76435026	76435028	+	SHROOM3
cg14899547	2	112764345	112764347	+	CKAP2L
cg14900471	8	11704110	11704112	-	GATA4
cg14902389	2	98726221	98726223	+	MGAT4A
cg14903309	12	53500633	53500635	-	AC023509.3;MAP3K12;TARBP2
cg14904464	12	44876006	44876008	+	NELL2
cg14908548	5	179732587	179732589	-	MAML1
cg14910241	3	30607105	30607107	-	TGFBR2
cg14911395	3	50273781	50273783	-	SEMA3B
cg14911472	6	131627869	131627871	+	ENPP3;MED23
cg14912034	10	30629921	30629923	+	LYZL2
cg14912575	14	69571518	69571520	+	CCDC177
cg14913610	12	8989744	8989746	-	AC006581.1;KLRG1
cg14913925	7	99551615	99551617	+	FAM200A
cg14914852	17	39868543	39868545	+	ZPBP2
cg14914982	12	4273818	4273820	-	AC008012.1;CCND2;CCND2-AS1
cg14915165	1	117929305	117929307	-	GDAP2;WDR3
cg14915263	20	50510599	50510601	+	PTPN1
cg14916079	10	119029183	119029185	-	AL157388.1;NANOS1
cg14916200	22	21417420	21417422	+	HIC2
cg14916213	11	66638346	66638348	-	RBM14-RBM4;RBM4
cg14916288	17	36018098	36018100	-	CCL23
cg14917512	19	3094686	3094688	+	GNA11
cg14918082	17	7929918	7929920	-	AC104581.2;KCNAB3
cg14919562	9	107283619	107283621	-	RAD23B
cg14920334	12	4720660	4720662	-	AC005833.1;GALNT8;GAU1
cg14920426	5	177497418	177497420	-	AC145098.1;PDLIM7
cg14920846	1	201649080	201649082	+	NAV1
cg14923435	2	120012702	120012704	-	EPB41L5
cg14924091	15	40470873	40470875	+	CHST14
cg14924278	10	121989406	121989408	+	TACC2
cg14925024	1	228104003	228104005	-	C1orf35
cg14927277	11	28108419	28108421	+	KIF18A;METTL15
cg14930396	2	24076305	24076307	-	FAM228B;SF3B6
cg14930674	15	48208042	48208044	+	SLC12A1
cg14930706	19	55851738	55851740	-	NLRP4
cg14931645	1	248839078	248839080	+	ZNF672
cg14932645	2	74341876	74341878	-	AC006030.1;SLC4A5
cg14932684	12	42238198	42238200	+	PPHLN1;YAF2
cg14934766	2	26786515	26786517	-	CENPA
cg14934821	9	136334362	136334364	+	GPSM1
cg14939652	14	32938558	32938560	-	NPAS3
cg14939691	3	53255964	53255966	+	TKT
cg14940420	3	51861675	51861677	-	IQCF2
cg14942312	X	130385086	130385088	-	GPR119
cg14944269	14	64972883	64972885	-	CHURC1-FNTB;RAB15
cg14944362	20	1994277	1994279	-	PDYN;PDYN-AS1
cg14946299	7	64903211	64903213	+	ZNF273
cg14947494	6	166382795	166382797	-	AL022069.1;MPC1
cg14948436	6	39322382	39322384	+	KCNK16
cg14948822	2	27322138	27322140	-	MPV17
cg14949649	12	109477276	109477278	-	KCTD10;UBE3B
cg14950072	18	7118122	7118124	+	LAMA1
cg14951292	16	4475984	4475986	-	HMOX2;NMRAL1
cg14951734	2	207711554	207711556	-	CCNYL1
cg14957086	12	76878271	76878273	+	AC124784.1;CSRP2
cg14958018	8	41647522	41647524	-	NKX6-3
cg14958635	5	135535286	135535288	+	NEUROG1
cg14958889	1	6260410	6260412	-	GPR153
cg14959707	16	11782534	11782536	+	ZC3H7A
cg14960043	6	35297846	35297848	-	DEF6
cg14961385	20	35616244	35616246	+	SPAG4
cg14961550	6	52284952	52284954	-	MCM3
cg14962548	2	99336253	99336255	-	EIF5B;TXNDC9
cg14962776	X	13735261	13735263	+	OFD1;TRAPPC2
cg14963371	1	27392958	27392960	+	GPR3
cg14963897	20	35700827	35700829	-	NFS1;ROMO1
cg14964658	1	160285239	160285241	-	AL139011.2;PEX19
cg14966252	5	16466349	16466351	-	ZNF622
cg14967066	11	314340	314342	+	IFITM1;IFITM2
cg14967972	10	89645507	89645509	+	AL157400.2;AL157400.5;PANK1
cg14971781	1	226187051	226187053	-	ACBD3
cg14972143	4	98929851	98929853	+	AC019131.1;EIF4E
cg14972271	1	223712033	223712035	+	CAPN2
cg14973995	4	2933964	2933966	+	MFSD10;NOP14-AS1
cg14974772	14	91948080	91948082	+	FBLN5
cg14975238	7	98212278	98212280	+	BHLHA15
cg14976276	6	31862852	31862854	+	NEU1
cg14981132	12	54281683	54281685	-	AC078778.1;HNRNPA1
cg14982472	21	42199540	42199542	-	ABCG1
cg14984307	14	75064033	75064035	-	ACYP1;ZC2HC1C
cg14984920	7	25124773	25124775	-	CYCS
cg14986136	X	103356324	103356326	+	TCEAL9
cg14986420	X	68498456	68498458	+	YIPF6
cg14987922	2	36966927	36966929	-	STRN
cg14988503	4	75630362	75630364	+	CDKL2
cg14989191	16	29900749	29900751	+	ASPHD1;SEZ6L2
cg14990333	19	43951230	43951232	+	ZNF221
cg14991487	2	176122675	176122677	+	HOXD-AS2;HOXD9
cg14992108	8	120813229	120813231	+	AC104958.2;SNTB1
cg14992253	1	32221965	32221967	-	EIF3I;TMEM234
cg14993293	5	90409761	90409763	-	AC093510.1;CETN3
cg14996805	17	58352808	58352810	+	AC004687.2;SUPT4H1;TSPOAP1-AS1
cg14998713	11	128522012	128522014	+	ETS1;MIR6090
cg15001372	7	44190292	44190294	+	GCK
cg15001381	16	353313	353315	+	AXIN1
cg15002187	7	140398691	140398693	+	SLC37A3
cg15002204	6	49462005	49462007	+	CENPQ;MMUT
cg15002214	17	56593008	56593010	-	NOG
cg15003158	5	69332603	69332605	+	CCDC125;CHCHD2P2
cg15003434	9	133336147	133336149	+	SURF6
cg15005385	17	36197080	36197082	+	CCL3L3
cg15006396	3	101828014	101828016	-	NFKBIZ;NXPE3
cg15006973	1	34793331	34793333	-	GJA4;SMIM12
cg15008991	X	46447427	46447429	-	KRBOX4
cg15009698	5	78294669	78294671	+	AP3B1
cg15009813	17	7548565	7548567	-	TNFSF12;TNFSF12-TNFSF13
cg15010067	19	3762974	3762976	+	APBA3;MRPL54
cg15010390	4	139295802	139295804	-	NDUFC1
cg15013019	19	13102636	13102638	+	LYL1
cg15014034	X	43656295	43656297	-	MAOA
cg15014458	19	43465657	43465659	-	LYPD3
cg15014549	17	19533689	19533691	+	SLC47A1
cg15016234	1	33181426	33181428	+	TRIM62
cg15016628	X	136488028	136488030	+	BRS3
cg15018760	22	50525944	50525946	+	SCO2;TYMP
cg15019617	10	89392689	89392691	+	IFIT1;LIPA
cg15020645	5	112738071	112738073	-	APC
cg15021292	5	68225767	68225769	+	PIK3R1
cg15021531	12	57520144	57520146	-	AC022506.1;DDIT3;MBD6;MIR616
cg15025769	15	72117661	72117663	+	MYO9A;SENP8
cg15028436	7	37848475	37848477	-	EPDR1;NME8
cg15031780	1	10475527	10475529	+	PEX14
cg15032239	15	22981112	22981114	-	CYFIP1
cg15034135	5	129460474	129460476	+	ADAMTS19;ADAMTS19-AS1
cg15034763	1	54053366	54053368	-	MIR4781;TCEANC2;TMEM59
cg15035273	12	56333726	56333728	-	IL23A;PAN2
cg15035713	14	20413410	20413412	+	TEP1
cg15037004	5	72508110	72508112	+	ZNF366
cg15039399	11	67508513	67508515	-	CDK2AP2
cg15041659	1	22452033	22452035	+	ZBTB40
cg15042080	8	108787526	108787528	-	TMEM74
cg15042385	7	43926660	43926662	-	UBE2D4;URGCP
cg15042806	16	23640946	23640948	+	DCTN5;PALB2
cg15043057	1	40979115	40979117	+	CTPS1
cg15043801	19	10195234	10195236	-	DNMT1
cg15043975	3	50337820	50337822	-	RASSF1;RASSF1-AS1
cg15044041	3	113441465	113441467	+	AC112128.1;CFAP44
cg15044073	11	9663751	9663753	+	SWAP70
cg15045441	6	71420728	71420730	-	LINC00472
cg15046675	19	49335519	49335521	-	AC011450.1;CD37
cg15046693	19	33372969	33372971	+	CEBPG
cg15046735	14	77708008	77708010	-	ALKBH1;SLIRP
cg15047833	16	57462498	57462500	-	AC009052.1;POLR2C
cg15050111	1	24319359	24319361	+	GRHL3;GRHL3-AS1
cg15051063	3	143175104	143175106	-	PBX2P1
cg15052335	18	3011811	3011813	-	LPIN2
cg15052901	14	92322257	92322259	-	SLC24A4
cg15054260	8	89757481	89757483	-	AF117829.1;RIPK2
cg15055101	19	6766597	6766599	-	SH2D3A
cg15056107	1	229508289	229508291	+	AL121990.1;NUP133
cg15056247	6	116279909	116279911	-	DSE;TSPYL1
cg15056412	20	33674716	33674718	+	AL121906.1;NECAB3
cg15057581	20	1894437	1894439	+	AL117335.1;SIRPA
cg15057726	3	127598622	127598624	-	MCM2;TPRA1
cg15059511	15	40807520	40807522	-	DNAJC17;ZFYVE19
cg15059932	18	76823276	76823278	+	ZNF236;ZNF236-DT
cg15060177	3	45689525	45689527	+	LIMD1-AS1;SACM1L
cg15060813	19	35937405	35937407	+	LRFN3
cg15061008	22	24011456	24011458	+	CABIN1
cg15062535	19	52344679	52344681	+	AC010320.4;ZNF610
cg15062795	12	11649282	11649284	+	ETV6
cg15065896	3	37243546	37243548	-	AC097359.2;GOLGA4
cg15068733	17	7439526	7439528	+	AC113189.2;AC113189.3;AC113189.4;FGF11
cg15070798	16	690560	690562	-	WDR24;Z92544.1
cg15071391	13	25288500	25288502	-	MTMR6
cg15075170	9	100473747	100473749	+	MSANTD3-TMEFF1;TMEFF1
cg15075718	11	119346465	119346467	-	MFRP
cg15076218	1	46133329	46133331	+	AL358075.2;P3R3URF-PIK3R3;PIK3R3
cg15076659	1	27155365	27155367	-	SLC9A1
cg15077070	2	102186829	102186831	-	IL1RL2
cg15077637	17	44900032	44900034	+	CCDC103;EFTUD2;FAM187A
cg15078027	19	13747804	13747806	-	CCDC130
cg15078479	14	20343648	20343650	+	AL355075.4;PARP2;RPPH1
cg15081561	18	68836988	68836990	-	CCDC102B
cg15082782	X	154885041	154885043	+	F8;F8A1;H2AB1
cg15083227	15	64841089	64841091	+	AC069368.1;PLEKHO2
cg15083233	9	110048121	110048123	-	PALM2AKAP2
cg15085805	19	18322781	18322783	-	LSM4
cg15087147	7	128032115	128032117	+	LRRC4;SND1
cg15089387	5	111070962	111070964	-	TSLP
cg15089487	15	70892912	70892914	+	LRRC49;THAP10
cg15091337	2	74958311	74958313	-	POLE4
cg15091410	5	55853671	55853673	+	IL31RA
cg15092544	12	68610889	68610891	-	RAP1B
cg15092802	9	135546205	135546207	+	NA
cg15094912	21	45287865	45287867	+	LINC00205;POFUT2
cg15095327	3	9902827	9902829	-	IL17RE
cg15096123	19	50910680	50910682	-	KLK4
cg15096140	2	191245004	191245006	-	AC092614.1;MYO1B
cg15097876	10	70233847	70233849	+	PPA1
cg15098690	4	141220829	141220831	+	ZNF330
cg15100639	6	31703259	31703261	+	ABHD16A;AL662899.1
cg15101633	14	100827388	100827390	-	MEG3
cg15103426	22	28772803	28772805	+	CCDC117
cg15103675	1	162561728	162561730	+	AL596325.1;UAP1
cg15104484	22	18077736	18077738	+	AC016027.1;PEX26
cg15105081	11	77821179	77821181	+	AAMDC;RSF1
cg15105660	3	190322145	190322147	+	CLDN1;CLDN16
cg15105703	15	45129661	45129663	+	DUOX1;DUOXA1
cg15105987	13	112067856	112067858	-	NA
cg15107670	11	32435212	32435214	-	AL049692.1;AL049692.6;WT1;WT1-AS
cg15109207	19	48111515	48111517	+	PLA2G4C
cg15109571	10	102504265	102504267	-	SUFU
cg15111734	10	91909156	91909158	-	AL359198.1;FGFBP3
cg15113803	3	129528275	129528277	-	RHO
cg15118204	17	81918354	81918356	+	MAFG;SIRT7
cg15118503	2	61177725	61177727	+	AHSA2P
cg15119375	16	31700717	31700719	+	AC074050.2;CLUHP3
cg15120247	1	150271641	150271643	-	C1orf54
cg15120497	3	129974055	129974057	+	TRH
cg15120925	12	113136003	113136005	+	RASAL1
cg15120942	3	38030086	38030088	-	PLCD1
cg15121304	22	22025701	22025703	-	IGLVI-70;PRAMENP
cg15125424	12	93569577	93569579	+	SOCS2;SOCS2-AS1
cg15125472	19	35757175	35757177	-	HSPB6;PROSER3
cg15125634	15	65869503	65869505	-	RAB11A
cg15127324	4	36244819	36244821	+	AC104078.1;ARAP2
cg15127733	20	3732936	3732938	+	HSPA12B
cg15127806	12	93467641	93467643	+	MRPL42
cg15128849	1	70355034	70355036	-	ANKRD13C;HHLA3
cg15128898	5	35617926	35617928	+	SPEF2
cg15129294	17	36103071	36103073	-	CCL4
cg15133363	7	128456210	128456212	-	AC010655.2;AC010655.4;HILPDA
cg15133917	2	178807909	178807911	+	TTN
cg15134628	22	50261219	50261221	-	MAPK12
cg15134649	16	56625423	56625425	+	MT1E
cg15139737	9	136944938	136944940	-	C8G;FBXW5
cg15140807	17	42899192	42899194	+	LINC00671
cg15142488	19	41844883	41844885	+	DMRTC2;LYPD4
cg15143643	22	45501892	45501894	+	FBLN1
cg15144793	2	234952658	234952660	-	SH3BP4
cg15146720	7	152025535	152025537	+	GALNT11;Metazoa_SRP
cg15146752	1	16156271	16156273	-	AL451042.2;EPHA2
cg15147435	12	48925669	48925671	-	AC073610.2;CCDC65;FKBP11
cg15147516	1	226224166	226224168	-	MIXL1
cg15147545	10	32958675	32958677	+	ITGB1;ITGB1-DT
cg15149098	19	48551769	48551771	-	AC008403.3;SULT2B1
cg15149645	16	28539297	28539299	-	AC009093.11;AC020765.6;NUPR1
cg15149938	22	49624743	49624745	-	C22orf34
cg15153383	16	57736707	57736709	-	KATNB1
cg15154229	7	130380169	130380171	+	CPA1
cg15156078	15	79091070	79091072	+	RASGRF1
cg15156367	1	92029446	92029448	-	EPHX4
cg15156836	1	25799923	25799925	+	SELENON
cg15156844	18	3880019	3880021	+	DLGAP1;DLGAP1-AS3
cg15157837	2	96816321	96816323	+	CNNM3
cg15158783	4	73981928	73981930	+	PF4
cg15160312	3	197298329	197298331	-	DLG1;DLG1-AS1
cg15160445	20	58851693	58851695	+	GNAS;GNAS-AS1
cg15160742	1	244653919	244653921	+	DESI2
cg15161055	19	11528739	11528741	+	ECSIT
cg15161785	2	3519362	3519364	-	AC231981.1;ADI1
cg15164103	7	130487029	130487031	-	AC007938.5;AC007938.6;MEST;MESTIT1
cg15164958	7	54541893	54541895	+	VSTM2A
cg15165084	5	126423598	126423600	-	AC093535.1;GRAMD2B
cg15166050	15	66564794	66564796	-	LCTL
cg15166089	1	27383539	27383541	-	CD164L2
cg15167433	19	43575832	43575834	-	L34079.1;PINLYP;XRCC1
cg15169162	6	42722569	42722571	+	PRPH2
cg15170424	8	91040668	91040670	+	PIP4P2
cg15170903	17	50719715	50719717	+	LUC7L3
cg15171237	4	184650803	184650805	+	CASP3;PRIMPOL
cg15173196	1	202342149	202342151	-	UBE2T
cg15175266	5	22854594	22854596	-	CDH12
cg15175577	22	32412189	32412191	+	RTCB
cg15177359	17	75844668	75844670	-	UNC13D
cg15177917	19	12969594	12969596	+	DAND5
cg15178040	6	52846695	52846697	+	NA
cg15182360	13	61415603	61415605	-	AL592490.1;PCDH20
cg15183083	11	30016762	30016764	+	KCNA4
cg15185001	19	35248544	35248546	+	LSR
cg15185286	6	143060537	143060539	-	AIG1;LINC01277
cg15185794	1	17119591	17119593	-	PADI2
cg15185804	6	83192778	83192780	+	PGM3;RWDD2A
cg15186584	9	34397652	34397654	-	C9orf24
cg15186869	14	93206928	93206930	+	AL110118.1;GON7;UBR7
cg15187606	1	47191180	47191182	-	PDZK1IP1
cg15188491	1	147172526	147172528	+	AC242426.2;PDIA3P1;PRKAB2
cg15188688	22	19480818	19480820	+	CDC45
cg15191648	18	78980261	78980263	-	LINC01896;SALL3
cg15195276	9	111037655	111037657	+	LPAR1
cg15195353	16	4332773	4332775	+	GLIS2;PAM16
cg15195412	16	57373042	57373044	+	CX3CL1
cg15198335	15	66293664	66293666	-	AC055855.2;DIS3L
cg15200096	X	48972696	48972698	-	KCND1
cg15201291	10	95070344	95070346	-	CYP2C8
cg15201599	13	45465448	45465450	+	COG3
cg15201635	16	68448733	68448735	+	AC099521.3;SMPD3
cg15201877	1	71047289	71047291	-	PTGER3
cg15201909	X	71112110	71112112	-	AL590764.2;IL2RG
cg15202954	13	101416644	101416646	+	NALCN
cg15205507	19	53521068	53521070	+	ZNF331
cg15206330	17	7688272	7688274	-	TP53;WRAP53
cg15206445	16	89506903	89506905	-	SPG7
cg15207619	13	49401506	49401508	+	CAB39L
cg15207953	20	30287790	30287792	+	LINC01597
cg15209169	9	122940499	122940501	-	RABGAP1
cg15210427	20	23568353	23568355	+	CST9L
cg15210596	1	246724022	246724024	-	SCCPDH
cg15210999	6	15663306	15663308	-	DTNBP1
cg15211655	18	24397375	24397377	+	OSBPL1A
cg15211677	X	103356522	103356524	+	TCEAL9
cg15212440	10	102714707	102714709	+	ARL3;SFXN2
cg15213605	16	70523581	70523583	-	COG4;SF3B3
cg15214092	17	81703465	81703467	-	AC139530.1;AC139530.2;MRPL12
cg15214137	11	74398175	74398177	+	AP001085.1;AP001372.1;MIR548AL;PGM2L1
cg15215114	17	7404099	7404101	-	NLGN2;TMEM256;TMEM256-PLSCR3
cg15219393	5	149730314	149730316	+	PPARGC1B
cg15222604	X	153965173	153965175	+	HCFC1
cg15223781	5	108748193	108748195	-	FER
cg15225105	11	65040870	65040872	+	SAC3D1
cg15226751	1	9941852	9941854	+	AL357140.2;LZIC
cg15227610	11	111911291	111911293	-	CRYAB;HSPB2;HSPB2-C11orf52
cg15227982	10	102776096	102776098	+	WBP1L
cg15228639	15	41997740	41997742	+	PLA2G4E;PLA2G4E-AS1
cg15229026	9	135961646	135961648	-	UBAC1
cg15230273	5	107670711	107670713	-	EFNA5
cg15231886	X	129905886	129905888	-	AL034405.1;UTP14A
cg15232450	3	4303753	4303755	+	AC023483.1;SETMAR;SUMF1
cg15233681	2	102154141	102154143	+	IL1R1
cg15234096	5	97143548	97143550	-	LIX1;LIX1-AS1
cg15235185	1	193059678	193059680	+	RO60;UCHL5
cg15235832	2	65228401	65228403	+	AC007318.1;ACTR2
cg15236866	2	172084096	172084098	+	DLX1
cg15238200	17	75897552	75897554	+	AC087289.2;TRIM65
cg15238224	6	30113630	30113632	+	TRIM31;TRIM31-AS1
cg15239123	14	69879695	69879697	-	SMOC1
cg15239579	16	3717976	3717978	-	TRAP1
cg15239703	4	169009899	169009901	-	AC021151.1;CBR4
cg15240064	7	6707205	6707207	-	AC073343.2;ZNF12
cg15241084	X	12868001	12868003	-	TLR7
cg15241708	5	180493581	180493583	-	CNOT6
cg15242570	9	87726132	87726134	+	CTSL
cg15243024	2	27428703	27428705	+	NRBP1
cg15247031	14	31457357	31457359	+	AL139353.1;DTD2
cg15247144	16	31202408	31202410	-	PYCARD;PYCARD-AS1
cg15248035	9	36169951	36169953	-	CCIN
cg15248979	2	218569278	218569280	+	CNOT9;USP37
cg15249164	21	33915881	33915883	+	AP000311.1;ATP5PO;LINC00649
cg15250507	1	200891236	200891238	+	INAVA
cg15250797	2	119523949	119523951	+	SCTR
cg15253243	2	219544068	219544070	+	CHPF;TMEM198
cg15253672	2	72887830	72887832	-	SPR
cg15256539	6	80106716	80106718	+	BCKDHB
cg15257765	15	88467227	88467229	+	AC013489.1;MRPL46;MRPS11
cg15258980	2	68734464	68734466	-	ARHGAP25
cg15259973	18	31498601	31498603	+	AC021549.1;DSG2
cg15260250	5	115841806	115841808	-	AP3S1;ATG12
cg15261665	3	46464883	46464885	-	LTF
cg15262516	13	110306070	110306072	+	COL4A1;COL4A2
cg15262928	1	201955443	201955445	+	TIMM17A
cg15262984	7	43926048	43926050	-	UBE2D4;URGCP
cg15264255	8	98294489	98294491	-	NIPAL2
cg15264273	9	94278177	94278179	+	ZNF169
cg15264303	12	6904737	6904739	+	LRRC23
cg15264808	16	81007792	81007794	+	AC009070.1;CENPN;CMC2
cg15269294	5	37370950	37370952	+	NUP155
cg15269863	6	83512640	83512642	-	PRSS35
cg15269875	11	1996787	1996789	-	AC051649.2;H19;MIR675
cg15270851	13	110705943	110705945	+	CARS2
cg15270950	3	30607326	30607328	-	TGFBR2
cg15271594	3	51995915	51995917	-	RPL29
cg15271616	9	35490517	35490519	-	RUSC2
cg15272684	1	35558871	35558873	+	KIAA0319L;NCDN
cg15272690	16	58250119	58250121	+	CCDC113
cg15275890	22	40820311	40820313	+	SLC25A17
cg15277108	12	113405192	113405194	-	SDS
cg15278682	10	69416095	69416097	+	TACR2
cg15278948	2	219206380	219206382	-	ZFAND2B
cg15279364	7	98869339	98869341	-	TMEM130
cg15280964	1	235160817	235160819	+	ARID4B;RBM34
cg15284635	3	10816818	10816820	+	SLC6A11
cg15286372	6	53794549	53794551	-	AL590652.1;LRRC1
cg15286905	10	27241320	27241322	+	ACBD5
cg15287183	7	94908420	94908422	+	PPP1R9A
cg15288179	5	32585632	32585634	+	SUB1
cg15293750	10	17201266	17201268	+	TRDMT1
cg15296858	2	27410367	27410369	-	PPM1G
cg15297650	2	134719485	134719487	+	AC110620.2;TMEM163
cg15298323	6	159761405	159761407	-	ACAT2;SOD2;SOD2-OT1
cg15298545	16	20805153	20805155	+	ERI2;REXO5
cg15298594	2	15561241	15561243	+	NBAS
cg15299463	19	49362140	49362142	-	DKKL1;TEAD2
cg15299721	4	103076352	103076354	+	SLC9B2
cg15300989	14	39114225	39114227	+	GEMIN2
cg15301525	16	67481440	67481442	-	AC009061.2;ATP6V0D1
cg15301694	14	31027647	31027649	-	AP4S1;STRN3
cg15301700	8	144336868	144336870	+	SCRT1;SLC52A2
cg15302379	10	101062090	101062092	-	AL133215.2;KAZALD1
cg15302567	11	74171722	74171724	-	C2CD3;PPME1
cg15303841	22	29437814	29437816	-	RFPL1;RFPL1S
cg15304928	1	201154433	201154435	-	TMEM9
cg15305343	1	46340684	46340686	+	NSUN4
cg15305511	4	5710948	5710950	-	EVC;EVC2
cg15307169	4	3463336	3463338	+	DOK7
cg15307268	15	39921207	39921209	+	GPR176;GPR176-DT
cg15307449	17	3824811	3824813	-	NCBP3
cg15308737	17	68307186	68307188	-	ARSG
cg15309006	16	23754794	23754796	-	AC012317.2;CHP2
cg15309066	7	25125368	25125370	-	CYCS
cg15309223	1	54053417	54053419	+	MIR4781;TCEANC2;TMEM59
cg15309236	X	102720668	102720670	+	ARMCX5-GPRASP2;BHLHB9
cg15309264	2	58046898	58046900	+	AC068193.1;VRK2
cg15309578	2	64112192	64112194	-	PELI1
cg15310162	21	36480523	36480525	+	AP000695.1;AP000695.2;CLDN14
cg15310873	20	58151036	58151038	+	C20orf85
cg15311933	1	19312402	19312404	+	AKR7A2;SLC66A1
cg15312298	8	126558662	126558664	-	LRATD2;PCAT1
cg15312323	17	41161441	41161443	+	KRTAP4-4
cg15315630	1	35031904	35031906	+	AC114490.2;ZMYM1;ZMYM6
cg15316289	22	49917255	49917257	+	ALG12;CRELD2
cg15316334	19	41707332	41707334	-	AC243967.1;CEACAM5;CEACAM7
cg15317267	11	1997016	1997018	+	AC051649.2;H19;MIR675
cg15318532	13	36819383	36819385	+	RFXAP
cg15319076	8	30156470	30156472	+	AC026979.2;DCTN6;LEPROTL1
cg15319451	1	15154251	15154253	+	TMEM51;TMEM51-AS1
cg15319457	2	238239490	238239492	-	AC012485.1;HES6
cg15320474	6	29560227	29560229	+	GABBR1;UBD
cg15321195	21	43866016	43866018	-	AGPAT3
cg15321211	10	43410066	43410068	+	HNRNPF
cg15322932	11	68010211	68010213	-	ALDH3B1
cg15329467	15	51338498	51338500	-	CYP19A1
cg15329483	X	52654923	52654925	+	AL450023.1;SSX7
cg15329642	1	44842625	44842627	+	PTCH2
cg15329866	3	171738035	171738037	+	PLD1
cg15331039	6	79631565	79631567	+	SH3BGRL2
cg15334028	19	10718485	10718487	+	DNM2;MIR638
cg15337006	16	31259687	31259689	-	ITGAM
cg15337055	14	75278654	75278656	+	FOS
cg15337897	11	69819631	69819633	+	FGF3
cg15339605	7	116030740	116030742	-	TFEC
cg15341340	19	12881422	12881424	-	AC020934.2;DNASE2
cg15341760	1	6237829	6237831	-	LINC00337
cg15342384	10	68332180	68332182	-	HNRNPH3;PBLD
cg15343119	18	77249828	77249830	-	GALR1
cg15344028	2	203936786	203936788	-	ICOS
cg15344726	13	20143206	20143208	-	GJA3
cg15345126	15	55290049	55290051	-	AC018926.2;RAB27A
cg15348640	3	38138493	38138495	-	ACAA1;MYD88
cg15348799	3	170357663	170357665	+	SKIL
